Yr	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec
1974	-1.942	-1.79	-1.765	-1.682	-1.073	-.642	-.723	-.629	-.617	-1.05	-1.255	-.931
1975	-.566	-.613	-.882	-.969	-.852	-1.145	-1.477	-1.731	-1.874	-2	-1.793	-1.757
1976	-1.625	-1.404	-1.255	-1.191	-.477	.343	.617	.668	1.024	.947	.48	.552
1977	.518	.258	.091	.531	.331	.483	.859	.689	.812	1.006	.974	.879
1978	.779	.904	.955	.181	-.389	-.568	-.407	-.193	-.386	-.023	.197	.399
1979	.596	.354	-.011	.289	.384	.389	.355	.644	.769	.64	.737	1.016
1980	.698	.611	.669	.875	.922	.855	.782	.341	.284	.208	.238	.118
1981	-.243	-.153	.443	.638	.125	-.023	-.033	-.082	.179	.091	-.051	-.148
1982	-.278	-.138	.086	-.038	.407	.954	1.626	1.827	1.797	2.021	2.447	2.411
1983	2.687	2.903	3.038	2.873	2.561	2.18	1.738	1.137	.439	.003	-.171	-.172
1984	-.338	-.563	.131	.33	.144	-.107	-.129	-.185	-.084	.017	-.348	-.611
1985	-.557	-.605	-.737	-.483	-.716	-.09	-.146	-.398	-.537	-.139	-.053	-.289
1986	-.302	-.176	.033	-.166	.322	.316	.389	.811	1.157	.994	.867	1.181
1987	1.237	1.184	1.724	1.866	2.131	1.923	1.841	1.956	1.84	1.612	1.252	1.253
1988	1.093	.661	.456	.308	.103	-.682	-1.164	-1.378	-1.574	-1.342	-1.463	-1.339
1989	-1.165	-1.323	-1.056	-.84	-.459	-.256	-.448	-.494	-.28	-.312	-.061	.145
1990	.234	.524	.916	.397	.614	.43	.093	.126	.376	.247	.378	.339
1991	.312	.32	.393	.445	.718	1.14	1.009	1.01	.738	1.02	1.203	1.318
1992	1.749	1.87	1.992	2.271	2.141	1.74	.953	.536	.508	.672	.603	.642
1993	.701	1.005	.979	1.39	1.992	1.499	1.096	1.006	.987	1.06	.826	.565
1994	.34	.194	.159	.426	.531	.764	.835	.742	.886	1.434	1.28	1.184
1995	1.198	.974	.862	.421	.508	.465	.178	-.198	-.456	-.478	-.486	-.553
1996	-.64	-.587	-.264	-.501	-.14	.022	-.21	-.399	-.495	-.381	-.155	-.337
1997	-.485	-.602	-.254	.497	1.121	2.314	2.764	3.004	3.005	2.363	2.527	2.326
1998	2.481	2.774	2.748	2.672	2.178	1.165	.284	-.417	-.655	-.844	-1.165	-1.01
1999	-1.151	-1.247	-1.068	-1.023	-.664	-.403	-.469	-.779	-.997	-1.007	-1.072	-1.205
2000	-1.195	-1.252	-1.138	-.521	.188	-.101	-.187	-.143	-.243	-.381	-.75	-.582
2001	-.539	-.725	-.607	-.145	.22	-.028	.267	.364	-.124	-.273	-.176	.005
2002	-.049	-.21	-.201	.342	.801	.882	.613	.928	.813	.955	1.063	1.114
2003	1.185	.933	.82	.311	.07	.048	.093	.246	.442	.515	.528	.319
2004	.31	.333	-.125	.221	.495	.223	.478	.671	.526	.476	.795	.647
2005	.302	.804	1.018	.562	.782	.504	.492	.319	.262	-.164	-.4	-.583
2006	-.469	-.463	-.591	-.686	-.018	.565	.637	.76	.802	.899	1.299	.953
2007	.972	.505	.074	-.047	.213	-.3	-.294	-.448	-1.152	-1.133	-1.165	-1.164
2008	-1.009	-1.408	-1.635	-.942	-.348	.14	.011	-.262	-.631	-.77	-.605	-.66
2009	-.752	-.728	-.719	-.157	.375	.934	.949	.957	.77	1.025	1.066	1.013
2010	1.153	1.524	1.386	.867	.609	-.388	-1.17	-1.808	-2.019	-1.943	-1.588	-1.574
2011	-1.677	-1.563	-1.562	-1.488	-.281	-.136	-.076	-.462	-.753	-.956	-.965	-.976
2012	-1.045	-.711	-.417	.061	.73	.909	1.138	.575	.278	.112	.176	.041
2013	.041	-.173	-.171	.01	.108	-.242	-.436	-.586	-.175	.102	-.08	-.3
2014	-.312	-.258	-.017	.152	.932	.878	.816	.858	.5	.36	.712	.578
